scope,cp_name,terminal_name,distance_km,cycle_time_hours,trips_per_truck_per_day,monthly_demand_tons,daily_demand_tons,trucks_needed,trips_month,monthly_operational_cost_usd,milp_status,milp_solve_time_s,notes,scenario_description
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_A,85.36,5.32,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_B,69.01,4.684,1.633,10163.0,423.46,9,339,,N/A,,,
4.1_lane_by_lane,Collection_Point10,Unload_Terminal_C,129.0,7.017,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point11,Unload_Terminal_A,108.26,6.21,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point11,Unload_Terminal_B,94.33,5.669,1.35,10826.0,451.08,12,361,,N/A,,,
4.1_lane_by_lane,Collection_Point11,Unload_Terminal_C,188.0,9.311,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point12,Unload_Terminal_A,163.17,8.345,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point12,Unload_Terminal_B,161.9,8.296,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point12,Unload_Terminal_C,162.0,8.3,0.922,6878.0,286.58,11,230,,N/A,,,
4.1_lane_by_lane,Collection_Point13,Unload_Terminal_A,130.26,7.066,0.0,0.0,0.0,0,0,,N/A,,no demand,
4.1_lane_by_lane,Collection_Point13,Unload_Terminal_B,114.84,6.466,1.183,7505.0,312.71,9,251,,N/A,,,
4.1_lane_by_lane,Collection_Point13,Unload_Terminal_C,120.0,6.667,1.147,3588.0,149.5,5,120,,N/A,,,
4.1_lane_by_lane,ALL,ALL,,,1.326,128700.0,,135,4297,6091999.47,N/A,,TOTAL -- lane-by-lane,Optimal demand relocation across collection points
4.2_weighted_cycle,ALL,ALL,,5.393,1.419,128700.0,,127,4297,5907399.54,N/A,,weighted_cycle=5.393h,Optimal demand relocation across collection points
4.3_milp,ALL,ALL,,,1.407,128700.0,,127,4290,5949692.47,Optimal,0.57,delivered=128700t,Optimal demand relocation across collection points
